province,lat,lon
Bình Dương,11.1836551,106.7031737
Bình Phước,11.7543232,106.9266473
Tây Ninh,11.4019366,106.1626927
Vũng Tàu,10.3486485,107.0765028
Đồng Nai,11.0355624,107.1881076
Long An,10.6983968,106.1883517
Tiền Giang,10.4030368,106.3616330
Bến Tre,10.1093637,106.4811559
Vĩnh Long,10.1203043,106.0125705
Trà Vinh,9.8037998,106.3256808
Đồng Tháp,10.5904240,105.6802341
Hậu Giang,9.7985063,105.6379524
An Giang,10.5392057,105.2312822
Kiên Giang,9.9904962,105.2435248
Bạc Liêu,9.3298341,105.5099460
Sóc Trăng,9.5628369,105.9493991
Cà Mau,9.0180177,105.0869724
Thành phố Hồ Chí Minh,10.7763897,106.7011391
Cần Thơ,10.0364634,105.7875821
