province,lat,lon
Hà Giang,22.7336097,105.0027271
Cao Bằng,22.7426936,106.1060926
Bắc Kạn,22.2571701,105.8204437
Lạng Sơn,21.8487579,106.6140692
Tuyên Quang,22.0747798,105.2584110
Thái Nguyên,21.6498502,105.8351394
Phú Thọ,21.3007538,105.1349604
Bắc Giang,21.3169625,106.4379850
Quảng Ninh,21.1718046,107.2012742
Lào Cai,22.3069302,104.1829592
Lai Châu,22.2921668,103.1798662
Yên Bái,21.8268679,104.6631220
Điện Biên,21.6546566,103.2168632
Sơn La,21.2276769,104.1575944
Hòa Bình,20.6763365,105.3759952
Hà Nội,21.0283334,105.8540410
Hà Nam,20.5397692,105.9928048
Bắc Ninh,21.2632717,106.2092704
Hải Dương,20.8930571,106.3725441
Hải Phòng,20.8816206,106.6790146
Hưng Yên,20.7833912,106.0699025
Nam Định,20.2686476,106.2289075
Ninh Bình,20.2421142,105.9746207
Thái Bình,20.4492880,106.3424967
Vĩnh Phúc,21.3778689,105.5758286
