Experiment,Run,Best_Distance,Execution_Time,Convergence_Generation
ANALYZING POPULATION SIZE,1,2392.108170951221,0.29597926139831543,28
ANALYZING POPULATION SIZE,2,2469.0344531170595,1.7373433113098145,30
ANALYZING POPULATION SIZE,3,2469.0344531170595,3.1064674854278564,27
ANALYZING MUTATION RATE,1,2392.108170951221,0.3956747055053711,28
ANALYZING MUTATION RATE,2,2674.543678306674,0.37729978561401367,29
ANALYZING MUTATION RATE,3,3293.2996347970434,0.3772151470184326,20
ANALYZING GENERATIONS,1,2392.108170951221,0.36884498596191406,28
ANALYZING GENERATIONS,2,2392.108170951221,1.638720989227295,28
ANALYZING GENERATIONS,3,2392.108170951221,3.2732253074645996,28
ANALYZING MUTATION RATE & POPULATION SIZE,1,3118.3284606840707,0.8943312168121338,14
ANALYZING MUTATION RATE & POPULATION SIZE,2,2500.264280194062,1.7125520706176758,33
ANALYZING MUTATION RATE & POPULATION SIZE,3,3064.9286911407576,2.08152174949646,19
ANALYZING MUTATION RATE & GENERATIONS,1,2392.108170951221,0.518416166305542,28
ANALYZING MUTATION RATE & GENERATIONS,2,2735.4399139069674,1.9404776096343994,29
ANALYZING MUTATION RATE & GENERATIONS,3,3922.538249629058,3.5807414054870605,20
ANALYZING GENERATIONS & POPULATION SIZE,1,2392.108170951221,0.39722776412963867,28
ANALYZING GENERATIONS & POPULATION SIZE,2,2469.0344531170595,8.648794412612915,30
ANALYZING GENERATIONS & POPULATION SIZE,3,2469.0344531170595,48.382545709609985,27
